uuid,no_infection,weak_infection,strong_infection,phage_name,ncbi_id,tax_id
b673b4e8-de29-4985-b04a-67086a924acb,"d305bad9-da0a-4519-8c28-919ce285a9af,da782365-ff38-4765-adc6-51798dd109a2",,,Endor2 ,MT711979,2740182
c1833836-7a5b-4a21-8c64-0249bc102967,,d305bad9-da0a-4519-8c28-919ce285a9af,da782365-ff38-4765-adc6-51798dd109a2,Alderaan ,MT711975,2739833
c1e2c88a-dd6c-4930-b240-6ecf0eb6d4de,d305bad9-da0a-4519-8c28-919ce285a9af,,da782365-ff38-4765-adc6-51798dd109a2,Coruscant ,MT711976,2739834
d05d8389-aa23-4dcb-8e60-25bf3fbf8cac,"296b474c-7aa7-40ff-8cc7-c83e1067ffe8,c7cc3d43-31f4-43cd-8553-cd3c87c05404,467385d3-d26a-4d9a-9762-bf90fcebe975,d9b7f9c4-172f-45fc-9937-c85947dc66a2,7c1310cb-1a6c-4e99-82bc-cfba00bedb13,16c66c49-9630-4f07-a0af-7c6439a8e3ae,f82e6f60-eacb-48da-8e6d-9abe4bb73030,46ed67a4-365d-478a-948b-f6b04d5b5d10,e2d851da-d31c-446c-8733-ff17f8263cad,c3301d3a-3253-407e-82ef-8372b73a3302",7e52c51a-cd73-4225-b9a7-3c40e5d3b1a0,,CrRp3 ,MG775042,2079275
d0de37ab-12b1-4365-a9fe-dbfde83f4055,9178e3b7-d6f6-42da-84f9-2adac0d35bb2,,bb8fa15c-904b-48b1-b5d4-610a3ac177a2,PAK_P1 ,NC_015294,743813
d4e525f0-5b0f-4667-9eff-b610f349d182,9178e3b7-d6f6-42da-84f9-2adac0d35bb2,,bb8fa15c-904b-48b1-b5d4-610a3ac177a2,PAK_P3 ,NC_022970,981431
d635cf70-8a87-476a-b4b9-493cdc9acec2,"296b474c-7aa7-40ff-8cc7-c83e1067ffe8,c7cc3d43-31f4-43cd-8553-cd3c87c05404,7e52c51a-cd73-4225-b9a7-3c40e5d3b1a0,d9b7f9c4-172f-45fc-9937-c85947dc66a2,7c1310cb-1a6c-4e99-82bc-cfba00bedb13,f82e6f60-eacb-48da-8e6d-9abe4bb73030,46ed67a4-365d-478a-948b-f6b04d5b5d10",,"467385d3-d26a-4d9a-9762-bf90fcebe975,9cd4f432-288b-4c52-9142-ca00e7c1b40d,16c66c49-9630-4f07-a0af-7c6439a8e3ae,e2d851da-d31c-446c-8733-ff17f8263cad",LF82_P10 ,LT717094,562
d9a85cc1-3bf7-4999-ab68-79bbf5f2719c,"2e6eab21-45fe-4f66-9cb3-4f842b456713,9bf1251e-65ed-4bf0-9b17-b49c18f4fa41",,,phiMMP04 ,NC_019422,1204535
e5c9b09c-15a1-4d17-87c7-9bd4e45d4abf,,,5118e052-b045-4def-9dfd-42c03f5f75f4,JS98 ,NC_012741,576790
eac76072-4806-43f8-950b-44f26cc0bed6,"2e6eab21-45fe-4f66-9cb3-4f842b456713,9bf1251e-65ed-4bf0-9b17-b49c18f4fa41",,,phiCD506 ,NC_028838,1582155
f0eb038e-26d6-4bdd-bf25-caa1b37f39ff,9178e3b7-d6f6-42da-84f9-2adac0d35bb2,,bb8fa15c-904b-48b1-b5d4-610a3ac177a2,CHA_P1 ,NC_022974,1327965
f2be49eb-e46f-4c26-b3ec-f59aaa1df8c0,9178e3b7-d6f6-42da-84f9-2adac0d35bb2,,bb8fa15c-904b-48b1-b5d4-610a3ac177a2,PAK_P2 ,NC_022967,1348912
f60d5b5a-b573-42f3-8ab9-aa5375a44a17,"2e6eab21-45fe-4f66-9cb3-4f842b456713,9bf1251e-65ed-4bf0-9b17-b49c18f4fa41",,,phiCD505 ,NC_028764,1582154
ffb2d912-7d8c-47c7-94c3-cc8a5835dd07,,,5118e052-b045-4def-9dfd-42c03f5f75f4,RB49 ,NC_005066,50948
